,Date,cn,de,fi,gb,ru,se
171,2018-01-25,,,,Local observance,,
172,2018-01-27,,Observance,,,,
173,2018-01-28,,Observance,,,,
174,2018-01-31,,,,Hebrew,,
175,2018-02-10,,Observance,,,,
176,2018-02-12,,Observance,,,,
177,2018-02-13,,Observance,,19.0,,
178,2018-02-14,,Season,,Local holiday,Observance,Observance
179,2018-02-15,National holiday,,,,,
180,2018-02-16,National holiday,,,Observance,,
181,2018-02-17,National holiday,,,,,
182,2018-02-18,Common local holiday,,,,,
183,2018-02-19,Common local holiday,,,,,
184,2018-02-20,Common local holiday,,,,,
185,2018-02-21,Common local holiday,,,,,
186,2018-02-23,,,,,National holiday,
187,2018-02-27,,,,,Observance,
188,2018-03-01,,,,Orthodox,,
189,2018-03-02,Observance,,,Hinduism,,
190,2018-03-08,Observance,Observance,,,National holiday,
191,2018-03-09,,,,,National holiday,
192,2018-03-11,,,,Observance,,
193,2018-03-12,Observance,,,,,
194,2018-03-17,,Observance,,Local holiday,,
195,2018-03-18,Observance,,,,,
196,2018-03-19,,,,Local holiday,,
197,2018-03-20T16:15:20+00:00,,,,Season,,
198,2018-03-20T17:15:20+01:00,,Season,,,,Season
199,2018-03-20T18:15:20+02:00,,,Season,,,
200,2018-03-20T19:15:20+03:00,,,,,Season,
201,2018-03-21T00:15:20+08:00,Season,,,,,
202,2018-03-25,,Observance,,Christian,,
203,2018-03-25T01:00:00+00:00,,,,Clock change/Daylight Saving Time,,
204,2018-03-25T02:00:00+01:00,,Clock change/Daylight Saving Time,,,,Clock change/Daylight Saving Time
205,2018-03-29,,Observance,,Christian,,
206,2018-03-30,,National holiday,National holiday,National holiday,,National holiday
207,2018-03-31,,,,16.0,,Observance
208,2018-04-01,,Local holiday,National holiday,Observance,,National holiday
209,2018-04-02,,National holiday,National holiday,Weekend,,National holiday
210,2018-04-05,National holiday,,,,,
211,2018-04-06,,,,Orthodox,,
212,2018-04-07,,,,19.0,,
213,2018-04-08,,,,Orthodox,Observance,
214,2018-04-09,,,,Orthodox,,
215,2018-04-12,,,,Hebrew,,
216,2018-04-13,,,,Muslim,,
217,2018-04-14,,,,,Muslim,
218,2018-04-19,,,,Hebrew,,
219,2018-04-23,,Observance,,Season,,
220,2018-04-26,,Observance,,,,
221,2018-04-28,,,,,Weekend,
222,2018-04-30,,Observance,,,National holiday,Observance
